hour,hunger,durst,energie,gesundheit,attempted,actions,blocked,status
0,100.0,100.0,100.0,100.0,-,-,-,stabil
1,97.0,94.0,100.0,100.0,-,-,-,stabil
2,94.0,88.0,100.0,100.0,-,-,-,stabil
3,91.0,82.0,100.0,100.0,-,-,-,stabil
4,88.0,76.0,100.0,100.0,-,-,-,stabil
5,85.0,70.0,100.0,100.0,-,-,-,stabil
6,82.0,64.0,100.0,100.0,-,-,-,stabil
7,79.0,58.0,99.0,100.0,-,-,-,stabil
8,76.0,52.0,98.0,100.0,-,-,-,stabil
9,73.0,46.0,97.0,100.0,-,-,-,stabil
10,70.0,40.0,96.0,100.0,-,-,-,warnung
11,67.0,34.0,91.0,100.0,-,-,-,warnung
12,89.0,50.0,86.0,100.0,"wasser,futter","wasser:28.0->50.0,futter:64.0->89.0",-,stabil
13,86.0,44.0,85.0,100.0,"wasser,futter",-,"wasser,futter",stabil
14,83.0,38.0,80.0,100.0,"wasser,futter",-,"wasser,futter",warnung
15,80.0,54.0,75.0,100.0,"wasser,futter",wasser:32.0->54.0,futter,stabil
16,77.0,48.0,74.0,100.0,"wasser,futter",-,"wasser,futter",stabil
17,74.0,42.0,73.0,100.0,"wasser,futter",-,"wasser,futter",stabil
18,71.0,58.0,68.0,100.0,"wasser,futter",wasser:36.0->58.0,futter,stabil
19,68.0,52.0,67.0,100.0,"wasser,futter",-,"wasser,futter",stabil
20,90.0,46.0,66.0,100.0,"wasser,futter",futter:65.0->90.0,wasser,stabil
21,87.0,62.0,65.0,100.0,"wasser,futter",wasser:40.0->62.0,futter,stabil
22,84.0,56.0,64.0,100.0,"wasser,futter",-,"wasser,futter",stabil
23,81.0,50.0,63.0,100.0,"wasser,futter",-,"wasser,futter",stabil
24,78.0,66.0,62.0,100.0,"wasser,futter",wasser:44.0->66.0,futter,stabil
25,75.0,60.0,61.0,100.0,"wasser,futter",-,"wasser,futter",stabil
26,72.0,54.0,60.0,100.0,"wasser,futter",-,"wasser,futter",stabil
27,69.0,70.0,59.0,100.0,"wasser,futter",wasser:48.0->70.0,futter,stabil
28,66.0,64.0,59.5,100.0,"wasser,futter",-,"wasser,futter",stabil
29,88.0,58.0,58.5,100.0,"wasser,futter",futter:63.0->88.0,wasser,stabil
30,85.0,74.0,57.5,100.0,"wasser,futter",wasser:52.0->74.0,futter,stabil
31,82.0,68.0,58.0,100.0,"wasser,futter",-,"wasser,futter",stabil
32,79.0,62.0,58.5,100.0,"wasser,futter",-,"wasser,futter",stabil
33,76.0,78.0,57.5,100.0,"wasser,futter",wasser:56.0->78.0,futter,stabil
34,73.0,72.0,58.0,100.0,"wasser,futter",-,"wasser,futter",stabil
35,70.0,66.0,58.5,100.0,"wasser,futter",-,"wasser,futter",stabil
36,67.0,82.0,57.5,100.0,"wasser,futter",wasser:60.0->82.0,futter,stabil
37,89.0,76.0,58.0,100.0,"wasser,futter",futter:64.0->89.0,wasser,stabil
38,86.0,70.0,58.5,100.0,"wasser,futter",-,"wasser,futter",stabil
39,83.0,86.0,59.0,100.0,"wasser,futter",wasser:64.0->86.0,futter,stabil
40,80.0,80.0,59.5,100.0,"wasser,futter",-,"wasser,futter",stabil
41,77.0,74.0,60.0,100.0,"wasser,futter",-,"wasser,futter",stabil
42,74.0,88.0,60.5,100.0,"wasser,futter",wasser:68.0->88.0,futter,stabil
43,71.0,82.0,61.0,100.0,"wasser,futter",-,"wasser,futter",stabil
44,68.0,76.0,61.5,100.0,"wasser,futter",-,"wasser,futter",stabil
45,90.0,88.0,62.0,100.0,"wasser,futter","wasser:70.0->88.0,futter:65.0->90.0",-,stabil
46,87.0,82.0,62.5,100.0,"wasser,futter",-,"wasser,futter",stabil
47,84.0,76.0,63.0,100.0,"wasser,futter",-,"wasser,futter",stabil
48,81.0,88.0,63.5,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
49,78.0,82.0,64.0,100.0,"wasser,futter",-,"wasser,futter",stabil
50,75.0,76.0,64.5,100.0,"wasser,futter",-,"wasser,futter",stabil
51,72.0,88.0,65.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
52,69.0,82.0,65.5,100.0,"wasser,futter",-,"wasser,futter",stabil
53,66.0,76.0,66.0,100.0,"wasser,futter",-,"wasser,futter",stabil
54,88.0,88.0,66.5,100.0,"wasser,futter","wasser:70.0->88.0,futter:63.0->88.0",-,stabil
55,85.0,82.0,67.0,100.0,"wasser,futter",-,"wasser,futter",stabil
56,82.0,76.0,67.5,100.0,"wasser,futter",-,"wasser,futter",stabil
57,79.0,88.0,68.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
58,76.0,82.0,68.5,100.0,"wasser,futter",-,"wasser,futter",stabil
59,73.0,76.0,69.0,100.0,"wasser,futter",-,"wasser,futter",stabil
60,70.0,88.0,69.5,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
61,67.0,82.0,70.0,100.0,"wasser,futter",-,"wasser,futter",stabil
62,89.0,76.0,70.5,100.0,"wasser,futter",futter:64.0->89.0,wasser,stabil
63,86.0,88.0,71.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
64,83.0,82.0,71.5,100.0,"wasser,futter",-,"wasser,futter",stabil
65,80.0,76.0,72.0,100.0,"wasser,futter",-,"wasser,futter",stabil
66,77.0,88.0,72.5,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
67,74.0,82.0,73.0,100.0,"wasser,futter",-,"wasser,futter",stabil
68,71.0,76.0,73.5,100.0,"wasser,futter",-,"wasser,futter",stabil
69,68.0,88.0,74.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
70,90.0,82.0,74.5,100.0,"wasser,futter",futter:65.0->90.0,wasser,stabil
71,87.0,76.0,75.0,100.0,"wasser,futter",-,"wasser,futter",stabil
72,84.0,88.0,75.5,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
