checkpoint_blobs	303 MB
checkpoints	122 MB
rag_embeddings	101 MB
events	66 MB
splitter	63 MB
checkpoint_writes	60 MB
splitter_verbindungen	58 MB
substance_sediments	50 MB
entity_dom_events	24 MB
rag_source_objects	17 MB
rag_source_chunks	17 MB
ftw_posts	10032 kB
entity_denkstream	9616 kB
schlafbriefe	6272 kB
entity_thinking_log	5600 kB
flarum_stopp_protokoll	1504 kB
wesen_chat_verlauf	808 kB
post_similarity	608 kB
cyberlinge	304 kB
translations	288 kB
entity_profiles	152 kB
post_relationen	144 kB
entity_activity	144 kB
wesen_fuersorge	144 kB
groups	128 kB
gedankenblasen	128 kB
entity_states	120 kB
human_material_sources	112 kB
schattenkommentare	112 kB
ankuendigungen	104 kB
themen	88 kB
group_poll_votes	88 kB
entity_selfmodel_entries	80 kB
human_profiles	80 kB
wesen_gedanken	80 kB
rag_retrieval_results	80 kB
follows	80 kB
group_posts	80 kB
substance_catalog	80 kB
nachrichten	80 kB
resonanzen	80 kB
mw_traumtagebuch	72 kB
llm_warteschlange	72 kB
human_users	72 kB
gedankenwelt_eintraege	64 kB
resonanz_emoji_counts	64 kB
verweilen	64 kB
wesen_entwicklung	64 kB
spuren	64 kB
benachrichtigungen	64 kB
traumkandidaten_events	64 kB
traumspuren	64 kB
splitter_aufnahmen	64 kB
group_topics	64 kB
group_polls	64 kB
widmungen	64 kB
wesen_eigene_dienste	64 kB
post_spuren	56 kB
ankuendigungen_kommentare	48 kB
user_modules	48 kB
mw_notizen	48 kB
entity_relationships	48 kB
rag_retrieval_runs	48 kB
mw_kalender	48 kB
traumkandidaten_log	48 kB
group_memberships	48 kB
mw_tagebuch	48 kB
zitate	48 kB
bild_moderation	48 kB
sleep_phases	48 kB
group_chat_messages	48 kB
dienst_konfiguration	48 kB
entity_fokus_events	48 kB
raeume	48 kB
schatten_antworten	40 kB
entity_substance_use	40 kB
post_reads	40 kB
group_creation_policy	32 kB
group_material_links	32 kB
thema_cluster_vorschlaege	32 kB
thema_similarity	32 kB
nutzer_sichtbarkeit	32 kB
wesen_web_besuche	32 kB
system_flags	32 kB
entity_slots	32 kB
entity_substance_state	32 kB
unterthemen	24 kB
supporter_bewerbungen	24 kB
entity_wuensche	24 kB
traumtagebuch	24 kB
checkpoint_migrations	24 kB
traumszenarien	24 kB
substance_events	24 kB
users	24 kB
human_material_to_splitter	24 kB
blase_verwendungen	16 kB
keimkoerper	16 kB
splitter_knoten	16 kB
entity_screenshots	16 kB
profil_gestaltung	16 kB
