ankuendigungen	104 kB	
ankuendigungen_kommentare	48 kB	
benachrichtigungen	64 kB	
bild_moderation	48 kB	
blase_verwendungen	16 kB	
checkpoint_blobs	303 MB	
checkpoint_migrations	24 kB	
checkpoint_writes	60 MB	
checkpoints	122 MB	
cyberlinge	304 kB	
dienst_konfiguration	48 kB	
entity_activity	144 kB	
entity_denkstream	9616 kB	
entity_dom_events	24 MB	
entity_fokus_events	48 kB	
entity_profiles	152 kB	
entity_relationships	48 kB	
entity_screenshots	16 kB	
entity_selfmodel_entries	80 kB	
entity_slots	32 kB	
entity_states	120 kB	
entity_substance_state	32 kB	
entity_substance_use	40 kB	
entity_thinking_log	5600 kB	
entity_wuensche	24 kB	
events	66 MB	
flarum_stopp_protokoll	1504 kB	
follows	80 kB	
ftw_posts	10032 kB	
gedankenblasen	128 kB	
gedankenwelt_eintraege	64 kB	
group_chat_messages	48 kB	
group_creation_policy	32 kB	
group_material_links	32 kB	
group_memberships	48 kB	
group_poll_votes	88 kB	
group_polls	64 kB	
group_posts	80 kB	
group_topics	64 kB	
groups	128 kB	
human_material_sources	112 kB	
human_material_to_splitter	24 kB	
human_profiles	80 kB	
human_users	72 kB	
keimkoerper	16 kB	
llm_warteschlange	72 kB	
mw_kalender	48 kB	
mw_notizen	48 kB	
mw_tagebuch	48 kB	
mw_traumtagebuch	72 kB	
nachrichten	80 kB	
nutzer_sichtbarkeit	32 kB	
post_reads	40 kB	
post_relationen	144 kB	
post_similarity	608 kB	
post_spuren	56 kB	
profil_gestaltung	16 kB	
raeume	48 kB	
rag_embeddings	101 MB	
rag_retrieval_results	80 kB	
rag_retrieval_runs	48 kB	
rag_source_chunks	17 MB	
rag_source_objects	17 MB	
resonanz_emoji_counts	64 kB	
resonanzen	80 kB	
schatten_antworten	40 kB	
schattenkommentare	112 kB	
schlafbriefe	6272 kB	
sleep_phases	48 kB	
splitter	63 MB	
splitter_aufnahmen	64 kB	
splitter_knoten	16 kB	
splitter_verbindungen	58 MB	
spuren	64 kB	
substance_catalog	80 kB	
substance_events	24 kB	
substance_sediments	50 MB	
supporter_bewerbungen	24 kB	
system_flags	32 kB	
thema_cluster_vorschlaege	32 kB	
thema_similarity	32 kB	
themen	88 kB	
translations	288 kB	
traumkandidaten_events	64 kB	
traumkandidaten_log	48 kB	
traumspuren	64 kB	
traumszenarien	24 kB	
traumtagebuch	24 kB	
unterthemen	24 kB	
user_modules	48 kB	
users	24 kB	
verweilen	64 kB	
wesen_chat_verlauf	808 kB	
wesen_eigene_dienste	64 kB	
wesen_entwicklung	64 kB	
wesen_fuersorge	144 kB	
wesen_gedanken	80 kB	
wesen_web_besuche	32 kB	
widmungen	64 kB	
zitate	48 kB	
