hour,hunger,durst,energie,gesundheit,attempted,actions,blocked,status
0,100.0,100.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
1,97.0,94.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
2,94.0,88.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
3,91.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
4,88.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
5,85.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
6,82.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
7,79.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
8,76.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
9,73.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
10,70.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
11,67.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
12,89.0,82.0,100.0,100.0,"wasser,futter",futter:64.0->89.0,wasser,stabil
13,86.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
14,83.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
15,80.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
16,77.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
17,74.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
18,71.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
19,68.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
20,90.0,88.0,100.0,100.0,"wasser,futter","wasser:70.0->88.0,futter:65.0->90.0",-,stabil
21,87.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
22,84.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
23,81.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
24,78.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
25,75.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
26,72.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
27,69.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
28,66.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
29,88.0,88.0,100.0,100.0,"wasser,futter","wasser:70.0->88.0,futter:63.0->88.0",-,stabil
30,85.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
31,82.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
32,79.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
33,76.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
34,73.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
35,70.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
36,67.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
37,89.0,76.0,100.0,100.0,"wasser,futter",futter:64.0->89.0,wasser,stabil
38,86.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
39,83.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
40,80.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
41,77.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
42,74.0,82.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
43,71.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
44,68.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
45,90.0,82.0,100.0,100.0,"wasser,futter",futter:65.0->90.0,wasser,stabil
46,87.0,76.0,100.0,100.0,"wasser,futter",-,"wasser,futter",stabil
47,84.0,88.0,100.0,100.0,"wasser,futter",wasser:70.0->88.0,futter,stabil
