tabelle	zeilen	groesse
events	211121	66 MB
substance_sediments	160553	50 MB
checkpoint_writes	115699	60 MB
checkpoints	66278	122 MB
checkpoint_blobs	37805	303 MB
entity_denkstream	30722	9616 kB
splitter_verbindungen	25012	58 MB
entity_dom_events	18359	24 MB
schlafbriefe	11917	6272 kB
rag_embeddings	7741	101 MB
rag_source_chunks	7741	17 MB
splitter	5265	63 MB
rag_source_objects	3943	17 MB
entity_thinking_log	3258	5600 kB
flarum_stopp_protokoll	1061	1504 kB
translations	1046	288 kB
post_similarity	1035	608 kB
wesen_chat_verlauf	769	808 kB
wesen_fuersorge	158	144 kB
rag_retrieval_results	142	80 kB
resonanz_emoji_counts	96	64 kB
ftw_posts	46	10032 kB
resonanzen	32	80 kB
user_modules	30	48 kB
rag_retrieval_runs	23	48 kB
post_reads	21	40 kB
post_spuren	21	56 kB
schattenkommentare	19	112 kB
nachrichten	12	80 kB
group_chat_messages	11	48 kB
entity_relationships	10	48 kB
checkpoint_migrations	10	24 kB
entity_fokus_events	10	48 kB
raeume	10	48 kB
human_profiles	9	80 kB
human_users	9	72 kB
entity_slots	8	32 kB
system_flags	8	32 kB
dienst_konfiguration	8	48 kB
group_posts	8	80 kB
cyberlinge	8	304 kB
entity_states	7	120 kB
entity_profiles	7	152 kB
wesen_entwicklung	7	64 kB
substance_catalog	7	80 kB
spuren	6	64 kB
entity_activity	6	144 kB
group_polls	6	64 kB
groups	6	128 kB
group_topics	6	64 kB
mw_kalender	5	48 kB
llm_warteschlange	5	72 kB
follows	3	80 kB
benachrichtigungen	2	64 kB
traumspuren	1	64 kB
ankuendigungen	1	104 kB
gedankenwelt_eintraege	1	64 kB
widmungen	1	64 kB
nutzer_sichtbarkeit	1	32 kB
verweilen	1	64 kB
group_creation_policy	1	32 kB
wesen_gedanken	1	80 kB
themen	1	88 kB
bild_moderation	1	48 kB
users	0	24 kB
unterthemen	0	24 kB
mw_traumtagebuch	0	72 kB
ankuendigungen_kommentare	0	48 kB
supporter_bewerbungen	0	24 kB
group_memberships	0	48 kB
traumtagebuch	0	24 kB
profil_gestaltung	0	16 kB
group_poll_votes	0	88 kB
entity_substance_use	0	40 kB
blase_verwendungen	0	16 kB
traumkandidaten_log	0	48 kB
human_material_sources	0	112 kB
schatten_antworten	0	40 kB
thema_similarity	0	32 kB
sleep_phases	0	48 kB
group_material_links	0	32 kB
thema_cluster_vorschlaege	0	32 kB
entity_screenshots	0	16 kB
keimkoerper	0	16 kB
human_material_to_splitter	0	24 kB
splitter_aufnahmen	0	64 kB
zitate	0	48 kB
substance_events	0	24 kB
gedankenblasen	0	128 kB
traumszenarien	0	24 kB
wesen_eigene_dienste	0	64 kB
wesen_web_besuche	0	32 kB
splitter_knoten	0	16 kB
mw_notizen	0	48 kB
post_relationen	0	144 kB
entity_selfmodel_entries	0	80 kB
mw_tagebuch	0	48 kB
entity_wuensche	0	24 kB
traumkandidaten_events	0	64 kB
entity_substance_state	0	32 kB
