hour,hunger,durst,energie,gesundheit,attempted,actions,blocked,status
0,100.0,100.0,100.0,100.0,-,-,-,stabil
1,97.0,94.0,100.0,100.0,-,-,-,stabil
2,94.0,88.0,100.0,100.0,-,-,-,stabil
3,91.0,82.0,100.0,100.0,-,-,-,stabil
4,88.0,76.0,100.0,100.0,-,-,-,stabil
5,85.0,70.0,100.0,100.0,-,-,-,stabil
6,82.0,64.0,100.0,100.0,-,-,-,stabil
7,79.0,58.0,99.0,100.0,-,-,-,stabil
8,76.0,52.0,98.0,100.0,-,-,-,stabil
9,73.0,46.0,97.0,100.0,-,-,-,stabil
10,70.0,40.0,96.0,100.0,-,-,-,warnung
11,67.0,34.0,91.0,100.0,-,-,-,warnung
12,64.0,28.0,86.0,100.0,-,-,-,warnung
13,61.0,22.0,81.0,100.0,-,-,-,kritisch
14,58.0,16.0,76.0,100.0,-,-,-,kritisch
15,55.0,10.0,71.0,100.0,-,-,-,kritisch
16,52.0,4.0,66.0,100.0,-,-,-,kritisch
17,49.0,0.0,61.0,100.0,-,-,-,kritisch
18,46.0,0.0,56.0,100.0,-,-,-,kritisch
19,43.0,0.0,51.0,100.0,-,-,-,kritisch
20,40.0,0.0,46.0,100.0,-,-,-,kritisch
21,37.0,0.0,41.0,100.0,-,-,-,kritisch
22,34.0,0.0,36.0,100.0,-,-,-,kritisch
23,31.0,0.0,31.0,100.0,-,-,-,kritisch
24,53.0,22.0,26.0,97.0,"wasser,futter","wasser:0.0->22.0,futter:28.0->53.0",-,kritisch
25,50.0,16.0,21.0,94.0,"wasser,futter",-,"wasser,futter",kritisch
26,47.0,10.0,16.0,91.0,"wasser,futter",-,"wasser,futter",kritisch
27,44.0,26.0,11.0,88.0,"wasser,futter",wasser:4.0->26.0,futter,kritisch
28,41.0,20.0,6.0,85.0,"wasser,futter",-,"wasser,futter",kritisch
29,38.0,14.0,1.0,82.0,"wasser,futter",-,"wasser,futter",kritisch
30,60.0,30.0,0.0,79.0,"wasser,futter","wasser:8.0->30.0,futter:35.0->60.0",-,kritisch
31,57.0,24.0,0.0,76.0,"wasser,futter",-,"wasser,futter",kritisch
32,54.0,18.0,0.0,73.0,"wasser,futter",-,"wasser,futter",kritisch
33,51.0,34.0,0.0,70.0,"wasser,futter",wasser:12.0->34.0,futter,kritisch
34,48.0,28.0,0.0,70.0,"wasser,futter",-,"wasser,futter",kritisch
35,45.0,22.0,0.0,67.0,"wasser,futter",-,"wasser,futter",kritisch
36,67.0,38.0,0.0,64.0,"wasser,futter","wasser:16.0->38.0,futter:42.0->67.0",-,kritisch
37,64.0,32.0,0.0,64.0,"wasser,futter",-,"wasser,futter",kritisch
38,61.0,26.0,0.0,64.0,"wasser,futter",-,"wasser,futter",kritisch
39,58.0,42.0,0.0,61.0,"wasser,futter",wasser:20.0->42.0,futter,kritisch
40,55.0,36.0,0.0,61.0,"wasser,futter",-,"wasser,futter",kritisch
41,52.0,30.0,0.0,61.0,"wasser,futter",-,"wasser,futter",kritisch
42,74.0,46.0,0.0,58.0,"wasser,futter","wasser:24.0->46.0,futter:49.0->74.0",-,kritisch
43,71.0,40.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
44,68.0,34.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
45,65.0,50.0,0.0,58.0,"wasser,futter",wasser:28.0->50.0,futter,kritisch
46,62.0,44.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
47,59.0,38.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
48,81.0,54.0,0.0,58.0,"wasser,futter","wasser:32.0->54.0,futter:56.0->81.0",-,kritisch
49,78.0,48.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
50,75.0,42.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
51,72.0,58.0,0.0,58.0,"wasser,futter",wasser:36.0->58.0,futter,kritisch
52,69.0,52.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
53,66.0,46.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
54,88.0,62.0,0.0,58.0,"wasser,futter","wasser:40.0->62.0,futter:63.0->88.0",-,kritisch
55,85.0,56.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
56,82.0,50.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
57,79.0,66.0,0.0,58.0,"wasser,futter",wasser:44.0->66.0,futter,kritisch
58,76.0,60.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
59,73.0,54.0,0.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
60,70.0,70.0,0.0,58.0,"wasser,futter",wasser:48.0->70.0,futter,kritisch
61,67.0,64.0,1.5,58.0,"wasser,futter",-,"wasser,futter",kritisch
62,89.0,58.0,0.5,58.0,"wasser,futter",futter:64.0->89.0,wasser,kritisch
63,86.0,74.0,0.0,58.0,"wasser,futter",wasser:52.0->74.0,futter,kritisch
64,83.0,68.0,1.5,58.0,"wasser,futter",-,"wasser,futter",kritisch
65,80.0,62.0,2.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
66,77.0,78.0,1.0,58.0,"wasser,futter",wasser:56.0->78.0,futter,kritisch
67,74.0,72.0,1.5,58.0,"wasser,futter",-,"wasser,futter",kritisch
68,71.0,66.0,2.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
69,68.0,82.0,1.0,58.0,"wasser,futter",wasser:60.0->82.0,futter,kritisch
70,90.0,76.0,1.5,58.0,"wasser,futter",futter:65.0->90.0,wasser,kritisch
71,87.0,70.0,2.0,58.0,"wasser,futter",-,"wasser,futter",kritisch
72,84.0,86.0,2.5,58.0,"wasser,futter",wasser:64.0->86.0,futter,kritisch
