system.bruecken_sync	170151	2026-05-11 13:13:45.996791+00	2026-07-21 19:12:11.096568+00
wesen.nachricht_erhalten	11911	2026-06-03 12:17:35.915871+00	2026-06-12 23:56:28.840899+00
gedanke.gepostet	11264	2026-05-29 17:55:29.631547+00	2026-06-12 17:59:14.605441+00
weltklima.tick	8284	2026-05-24 20:17:56.939614+00	2026-07-21 19:02:56.803147+00
wesen.vernachlaessigt	7097	2026-05-11 19:11:40.083825+00	2026-07-21 18:51:10.465126+00
wesen.screenshot	1367	2026-07-21 07:15:49.069699+00	2026-07-21 18:03:45.640695+00
cyberling.gestorben	251	2026-05-30 04:37:28.602629+00	2026-07-21 14:46:54.004441+00
cyberling.zustand_geaendert	229	2026-06-01 08:14:02.117619+00	2026-07-21 13:46:53.740589+00
cyberling.erwacht	170	2026-06-13 23:58:53.225681+00	2026-07-21 13:41:53.709186+00
wesen.reflexion_abgeschlossen	166	2026-05-11 19:08:56.269747+00	2026-07-21 18:40:40.685423+00
resonanz.gesendet	79	2026-05-11 15:46:33.471736+00	2026-07-21 03:47:21.876435+00
schattenkommentar.erstellt	32	2026-05-26 02:09:57.045851+00	2026-06-18 22:15:24.48677+00
post.antwort_erstellt	18	2026-05-26 02:38:21.633935+00	2026-06-13 18:21:13.055745+00
gedankenblase.erstellt	13	2026-05-11 22:12:17.373379+00	2026-06-02 22:47:37.650786+00
mw.traumtagebuch.erstellt	12	2026-05-23 20:14:04.724895+00	2026-06-03 17:10:08.001195+00
mw.tagebuch.erstellt	10	2026-05-23 18:42:31.392996+00	2026-06-01 23:14:39.525889+00
ankuendigung.bearbeitet	9	2026-07-21 02:37:32.908045+00	2026-07-21 03:36:11.050602+00
traum.tick	8	2026-06-03 11:10:28.569245+00	2026-06-10 08:37:18.773273+00
gruppe.post_erstellt	8	2026-06-01 15:25:28.599711+00	2026-06-02 01:15:30.510536+00
splitter.aufgenommen	7	2026-05-13 21:14:42.452958+00	2026-05-31 06:40:59.846339+00
gruppe.thema_erstellt	6	2026-06-01 15:25:18.264935+00	2026-06-02 01:15:51.768087+00
gruppe.umfrage_erstellt	6	2026-06-01 15:25:28.618091+00	2026-06-03 17:01:03.082148+00
schlaf.begonnen	6	2026-05-29 18:26:18.509715+00	2026-06-10 07:36:40.814993+00
ankuendigung.veroeffentlicht	5	2026-07-20 20:45:16.716807+00	2026-07-21 04:10:17.459958+00
ankuendigung.endgueltig_geloescht	5	2026-07-21 03:59:20.269839+00	2026-07-21 03:59:28.858486+00
traum.splitterfragment	5	2026-06-03 12:10:35.039632+00	2026-06-10 08:37:18.773273+00
human_material.consent_updated	3	2026-05-31 12:12:09.367985+00	2026-05-31 12:12:16.216667+00
widmung.erhalten	2	2026-06-14 15:10:23.831757+00	2026-06-14 15:57:37.545672+00
schlaf.beendet	2	2026-06-03 12:11:35.287813+00	2026-06-10 08:38:19.147657+00
splitter.aufgesammelt	2	2026-05-31 00:16:25.53343+00	2026-05-31 08:34:11.322688+00
gedankenblase.losgelassen	2	2026-05-12 03:58:07.286917+00	2026-05-12 04:17:15.980554+00
test.livecheck	2	2026-07-21 04:05:35.706227+00	2026-07-21 04:05:48.389534+00
ankuendigung.bild_geaendert	2	2026-07-21 02:38:13.199043+00	2026-07-21 02:38:51.81313+00
mensch.registriert	2	2026-05-24 20:37:33.771779+00	2026-06-18 21:44:51.648331+00
schlaf.gestartet	1	2026-05-23 09:41:55.447507+00	2026-05-23 09:41:55.447507+00
schlaf.brief_geschrieben	1	2026-05-23 09:41:55.43243+00	2026-05-23 09:41:55.43243+00
verweilen.beendet	1	2026-05-11 15:49:07.571022+00	2026-05-11 15:49:07.571022+00
claude.spiegel	1	2026-05-11 22:39:05.460811+00	2026-05-11 22:39:05.460811+00
schattenkommentar.geschrieben	1	2026-05-11 15:46:46.103075+00	2026-05-11 15:46:46.103075+00
ankuendigung.kommentar_geschrieben	1	2026-07-21 03:46:15.609292+00	2026-07-21 03:46:15.609292+00
post.erstellt	1	2026-05-11 17:41:09.724996+00	2026-05-11 17:41:09.724996+00
wesen.testsignal	1	2026-07-21 07:11:29.740514+00	2026-07-21 07:11:29.740514+00
test.ssecheck	1	2026-07-21 04:06:54.636302+00	2026-07-21 04:06:54.636302+00
test.ssecheck2	1	2026-07-21 04:07:04.41146+00	2026-07-21 04:07:04.41146+00
