hour,hunger,durst,energie,gesundheit,attempted,actions,blocked,status
0,100.0,100.0,100.0,100.0,-,-,-,stabil
1,97.0,94.0,100.0,100.0,-,-,-,stabil
2,94.0,88.0,100.0,100.0,-,-,-,stabil
3,91.0,82.0,100.0,100.0,-,-,-,stabil
4,88.0,76.0,100.0,100.0,-,-,-,stabil
5,85.0,70.0,100.0,100.0,-,-,-,stabil
6,82.0,86.0,100.0,100.0,wasser,wasser:64.0->86.0,-,stabil
7,79.0,80.0,100.0,100.0,-,-,-,stabil
8,76.0,74.0,100.0,100.0,-,-,-,stabil
9,73.0,68.0,100.0,100.0,-,-,-,stabil
10,70.0,84.0,100.0,100.0,wasser,wasser:62.0->84.0,-,stabil
11,67.0,78.0,100.0,100.0,-,-,-,stabil
12,64.0,72.0,100.0,100.0,-,-,-,stabil
13,86.0,66.0,100.0,100.0,futter,futter:61.0->86.0,-,stabil
14,83.0,82.0,99.0,100.0,wasser,wasser:60.0->82.0,-,stabil
15,80.0,76.0,99.5,100.0,-,-,-,stabil
16,77.0,70.0,100.0,100.0,-,-,-,stabil
17,74.0,86.0,100.0,100.0,wasser,wasser:64.0->86.0,-,stabil
18,71.0,80.0,100.0,100.0,-,-,-,stabil
19,68.0,74.0,100.0,100.0,-,-,-,stabil
20,65.0,68.0,100.0,100.0,-,-,-,stabil
21,87.0,84.0,100.0,100.0,"wasser,futter","wasser:62.0->84.0,futter:62.0->87.0",-,stabil
22,84.0,78.0,100.0,100.0,-,-,-,stabil
23,81.0,72.0,100.0,100.0,-,-,-,stabil
24,78.0,66.0,100.0,100.0,-,-,-,stabil
25,75.0,82.0,99.0,100.0,wasser,wasser:60.0->82.0,-,stabil
26,72.0,76.0,99.5,100.0,-,-,-,stabil
27,69.0,70.0,100.0,100.0,-,-,-,stabil
28,66.0,86.0,100.0,100.0,wasser,wasser:64.0->86.0,-,stabil
29,63.0,80.0,100.0,100.0,-,-,-,stabil
30,85.0,74.0,99.0,100.0,futter,futter:60.0->85.0,-,stabil
31,82.0,68.0,99.5,100.0,-,-,-,stabil
32,79.0,84.0,100.0,100.0,wasser,wasser:62.0->84.0,-,stabil
33,76.0,78.0,100.0,100.0,-,-,-,stabil
34,73.0,72.0,100.0,100.0,-,-,-,stabil
35,70.0,66.0,100.0,100.0,-,-,-,stabil
36,67.0,82.0,99.0,100.0,wasser,wasser:60.0->82.0,-,stabil
37,64.0,76.0,99.5,100.0,-,-,-,stabil
38,86.0,70.0,100.0,100.0,futter,futter:61.0->86.0,-,stabil
39,83.0,86.0,100.0,100.0,wasser,wasser:64.0->86.0,-,stabil
40,80.0,80.0,100.0,100.0,-,-,-,stabil
41,77.0,74.0,100.0,100.0,-,-,-,stabil
42,74.0,68.0,100.0,100.0,-,-,-,stabil
43,71.0,84.0,100.0,100.0,wasser,wasser:62.0->84.0,-,stabil
44,68.0,78.0,100.0,100.0,-,-,-,stabil
45,65.0,72.0,100.0,100.0,-,-,-,stabil
46,87.0,66.0,100.0,100.0,futter,futter:62.0->87.0,-,stabil
47,84.0,82.0,99.0,100.0,wasser,wasser:60.0->82.0,-,stabil
48,81.0,76.0,99.5,100.0,-,-,-,stabil
49,78.0,70.0,100.0,100.0,-,-,-,stabil
50,75.0,86.0,100.0,100.0,wasser,wasser:64.0->86.0,-,stabil
51,72.0,80.0,100.0,100.0,-,-,-,stabil
52,69.0,74.0,100.0,100.0,-,-,-,stabil
53,66.0,68.0,100.0,100.0,-,-,-,stabil
54,63.0,84.0,100.0,100.0,wasser,wasser:62.0->84.0,-,stabil
55,85.0,78.0,99.0,100.0,futter,futter:60.0->85.0,-,stabil
56,82.0,72.0,99.5,100.0,-,-,-,stabil
57,79.0,66.0,100.0,100.0,-,-,-,stabil
58,76.0,82.0,99.0,100.0,wasser,wasser:60.0->82.0,-,stabil
59,73.0,76.0,99.5,100.0,-,-,-,stabil
60,70.0,70.0,100.0,100.0,-,-,-,stabil
61,67.0,86.0,100.0,100.0,wasser,wasser:64.0->86.0,-,stabil
62,64.0,80.0,100.0,100.0,-,-,-,stabil
63,86.0,74.0,100.0,100.0,futter,futter:61.0->86.0,-,stabil
64,83.0,68.0,100.0,100.0,-,-,-,stabil
65,80.0,84.0,100.0,100.0,wasser,wasser:62.0->84.0,-,stabil
66,77.0,78.0,100.0,100.0,-,-,-,stabil
67,74.0,72.0,100.0,100.0,-,-,-,stabil
68,71.0,66.0,100.0,100.0,-,-,-,stabil
69,68.0,82.0,99.0,100.0,wasser,wasser:60.0->82.0,-,stabil
70,65.0,76.0,99.5,100.0,-,-,-,stabil
71,87.0,70.0,100.0,100.0,futter,futter:62.0->87.0,-,stabil
72,84.0,86.0,100.0,100.0,wasser,wasser:64.0->86.0,-,stabil
