hour,hunger,durst,energie,gesundheit,attempted,actions,blocked,status
0,100.0,100.0,100.0,100.0,-,-,-,stabil
1,97.0,94.0,100.0,100.0,-,-,-,stabil
2,94.0,88.0,100.0,100.0,-,-,-,stabil
3,91.0,82.0,100.0,100.0,-,-,-,stabil
4,88.0,76.0,100.0,100.0,-,-,-,stabil
5,85.0,70.0,100.0,100.0,-,-,-,stabil
6,82.0,64.0,100.0,100.0,-,-,-,stabil
7,79.0,58.0,99.0,100.0,-,-,-,stabil
8,76.0,52.0,98.0,100.0,-,-,-,stabil
9,73.0,46.0,97.0,100.0,-,-,-,stabil
10,70.0,40.0,96.0,100.0,-,-,-,warnung
11,67.0,34.0,91.0,100.0,-,-,-,warnung
12,64.0,28.0,86.0,100.0,-,-,-,warnung
13,61.0,22.0,81.0,100.0,-,-,-,kritisch
14,58.0,16.0,76.0,100.0,-,-,-,kritisch
15,55.0,10.0,71.0,100.0,-,-,-,kritisch
16,52.0,4.0,66.0,100.0,-,-,-,kritisch
17,49.0,0.0,61.0,100.0,-,-,-,kritisch
18,46.0,0.0,56.0,100.0,-,-,-,kritisch
19,43.0,0.0,51.0,100.0,-,-,-,kritisch
20,40.0,0.0,46.0,100.0,-,-,-,kritisch
21,37.0,0.0,41.0,100.0,-,-,-,kritisch
22,34.0,0.0,36.0,100.0,-,-,-,kritisch
23,31.0,0.0,31.0,100.0,-,-,-,kritisch
24,28.0,0.0,26.0,97.0,-,-,-,kritisch
25,25.0,0.0,21.0,94.0,-,-,-,kritisch
26,22.0,0.0,16.0,91.0,-,-,-,kritisch
27,19.0,0.0,11.0,88.0,-,-,-,kritisch
28,16.0,0.0,6.0,85.0,-,-,-,kritisch
29,13.0,0.0,1.0,82.0,-,-,-,kritisch
30,10.0,0.0,0.0,79.0,-,-,-,kritisch
31,7.0,0.0,0.0,76.0,-,-,-,kritisch
32,4.0,0.0,0.0,73.0,-,-,-,kritisch
33,1.0,0.0,0.0,70.0,-,-,-,kritisch
34,0.0,0.0,0.0,67.0,-,-,-,kritisch
35,0.0,0.0,0.0,64.0,-,-,-,kritisch
36,0.0,0.0,0.0,61.0,-,-,-,kritisch
37,0.0,0.0,0.0,58.0,-,-,-,kritisch
38,0.0,0.0,0.0,55.0,-,-,-,kritisch
39,0.0,0.0,0.0,52.0,-,-,-,kritisch
40,0.0,0.0,0.0,49.0,-,-,-,kritisch
41,0.0,0.0,0.0,46.0,-,-,-,kritisch
42,0.0,0.0,0.0,43.0,-,-,-,kritisch
43,0.0,0.0,0.0,40.0,-,-,-,kritisch
44,0.0,0.0,0.0,37.0,-,-,-,kritisch
45,0.0,0.0,0.0,34.0,-,-,-,kritisch
46,0.0,0.0,0.0,31.0,-,-,-,kritisch
47,0.0,0.0,0.0,28.0,-,-,-,kritisch
48,25.0,22.0,0.0,25.0,"wasser,futter","wasser:0.0->22.0,futter:0.0->25.0",-,kritisch
49,22.0,16.0,0.0,22.0,"wasser,futter",-,"wasser,futter",kritisch
50,19.0,10.0,0.0,19.0,"wasser,futter",-,"wasser,futter",lebensgefahr
51,16.0,26.0,0.0,16.0,"wasser,futter",wasser:4.0->26.0,futter,lebensgefahr
52,13.0,20.0,0.0,13.0,"wasser,futter",-,"wasser,futter",lebensgefahr
53,10.0,14.0,0.0,10.0,"wasser,futter",-,"wasser,futter",lebensgefahr
54,32.0,30.0,0.0,7.0,"wasser,futter","wasser:8.0->30.0,futter:7.0->32.0",-,lebensgefahr
55,29.0,24.0,0.0,4.0,"wasser,futter",-,"wasser,futter",lebensgefahr
56,26.0,18.0,0.0,1.0,"wasser,futter",-,"wasser,futter",lebensgefahr
57,23.0,34.0,0.0,0.0,"wasser,futter",wasser:12.0->34.0,futter,tot
58,20.0,28.0,0.0,0.0,"wasser,futter",-,"wasser,futter",tot
59,17.0,22.0,0.0,0.0,"wasser,futter",-,"wasser,futter",tot
60,39.0,38.0,0.0,0.0,"wasser,futter","wasser:16.0->38.0,futter:14.0->39.0",-,tot
61,36.0,32.0,0.0,0.0,"wasser,futter",-,"wasser,futter",tot
62,33.0,26.0,0.0,0.0,"wasser,futter",-,"wasser,futter",tot
63,30.0,42.0,0.0,0.0,"wasser,futter",wasser:20.0->42.0,futter,tot
64,27.0,36.0,0.0,0.0,"wasser,futter",-,"wasser,futter",tot
65,24.0,30.0,0.0,0.0,"wasser,futter",-,"wasser,futter",tot
66,46.0,46.0,0.0,0.0,"wasser,futter","wasser:24.0->46.0,futter:21.0->46.0",-,tot
67,43.0,40.0,0.0,0.0,"wasser,futter",-,"wasser,futter",tot
68,40.0,34.0,0.0,0.0,"wasser,futter",-,"wasser,futter",tot
69,37.0,50.0,0.0,0.0,"wasser,futter",wasser:28.0->50.0,futter,tot
70,34.0,44.0,0.0,0.0,"wasser,futter",-,"wasser,futter",tot
71,31.0,38.0,0.0,0.0,"wasser,futter",-,"wasser,futter",tot
72,53.0,54.0,0.0,0.0,"wasser,futter","wasser:32.0->54.0,futter:28.0->53.0",-,tot
