id,path,title,type,category,status,bytes
FW-RAW-001,02_DANIELS_ROHTEXTE_ISOLIERT/FW-RAW-001__ROHINPUT_R21_Questkosmos_111.111_Quests_und_99_Simulationen.md,"ROHINPUT R21 – Questkosmos, 111.111 Quests und 99 Simulationen",source,RAW,BESTAETIGT,4902
FW-RAW-002,02_DANIELS_ROHTEXTE_ISOLIERT/FW-RAW-002__ROHINPUT_R22_Das_Dust-Echo-Quest-System.md,ROHINPUT R22 – Das Dust-Echo-Quest-System,source,RAW,BESTAETIGT,4695
FW-RAW-003,02_DANIELS_ROHTEXTE_ISOLIERT/FW-RAW-003__ROHINPUT_R23_Der_Staub_erinnert_sich_Das_Spiel_spielt_dich.md,ROHINPUT R23 – „Der Staub erinnert sich“ – Das Spiel spielt dich,source,RAW,BESTAETIGT,4665
FW-RAW-004,02_DANIELS_ROHTEXTE_ISOLIERT/FW-RAW-004__ROHINPUT_R23_Der_Staub_erinnert_sich_Das_Spiel_spielt_dich.md,ROHINPUT R23 – „Der Staub erinnert sich“ / Das Spiel spielt dich,source,RAW,BESTAETIGT,2559
FW-RAW-005,02_DANIELS_ROHTEXTE_ISOLIERT/FW-RAW-005__ROHINPUT_R25_maximal_volatile_Questokonomie.md,ROHINPUT R25 – maximal volatile Questökonomie,source,RAW,BESTAETIGT,2583
FW-RAW-006,02_DANIELS_ROHTEXTE_ISOLIERT/FW-RAW-006__ROHINPUT_R26_Tag_Nacht_Jahreszeiten_Wetterextreme_und_Naturkatastrophen.md,"ROHINPUT R26 – Tag, Nacht, Jahreszeiten, Wetterextreme und Naturkatastrophen",source,RAW,BESTAETIGT,2978
FW-RAW-007,02_DANIELS_ROHTEXTE_ISOLIERT/FW-RAW-007__R20_Skillbaume_Gesamtlevel_Skillpunkte_und_AI-Fahigkeiten_wortnaher_Rohinput.md,"R20 – Skillbäume, Gesamtlevel, Skillpunkte und AI-Fähigkeiten – wortnaher Rohinput",source,RAW,BESTAETIGT,5208
FW-VER-001,03_SESSION_UND_VERSIONENSPUR/FW-VER-001__Build-Marker_und_weitere_Statusabschnitte.md,Build-Marker und weitere Statusabschnitte,source,VER,BESTAETIGT,7154
FW-VER-002,03_SESSION_UND_VERSIONENSPUR/FW-VER-002__Verbesserungsring_nach_Redteam_v14.0_v14.1.md,Verbesserungsring nach Redteam – v14.0 → v14.1,source,VER,BESTAETIGT,4221
FW-VER-003,03_SESSION_UND_VERSIONENSPUR/FW-VER-003__v14-Erneutanalyse_vor_Bauring_2.md,v14-Erneutanalyse vor Bauring 2,source,VER,BESTAETIGT,3779
