h,hunger,durst,energie,gesundheit,stimmung,aktionen,status
0.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
1.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
2.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
3.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
4.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
5.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
6.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
7.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
8.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
9.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
10.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
11.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
12.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
13.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
14.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
15.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
16.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
17.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
18.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
19.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
20.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
21.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
22.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
23.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
24.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
25.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
26.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
27.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
28.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
29.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
30.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
31.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
32.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
33.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
34.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
35.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
36.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
37.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
38.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
39.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
40.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
41.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
42.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
43.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
44.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
45.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
46.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
47.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
48.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
49.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
50.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
51.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
52.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
53.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
54.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
55.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
56.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
57.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
58.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
59.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
60.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
61.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
62.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
63.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
64.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
65.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
66.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
67.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
68.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
69.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
70.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
71.0,100.0,100.0,100.0,100.0,100.0,"W,F",stabil
