h,hunger,durst,energie,gesundheit,stimmung,aktionen,status
0.0,97.0,94.0,99.5,100.0,100.0,—,stabil
1.0,94.0,88.0,99.0,100.0,100.0,—,stabil
2.0,91.0,82.0,98.5,100.0,100.0,—,stabil
3.0,88.0,76.0,98.0,100.0,100.0,—,stabil
4.0,85.0,88.0,97.5,100.0,100.0,W,stabil
5.0,82.0,82.0,97.0,100.0,100.0,—,stabil
6.0,79.0,76.0,96.5,100.0,100.0,—,stabil
7.0,76.0,88.0,96.0,100.0,100.0,W,stabil
8.0,73.0,82.0,95.5,100.0,100.0,—,stabil
9.0,70.0,76.0,95.0,100.0,100.0,—,stabil
10.0,67.0,88.0,94.5,100.0,100.0,W,stabil
11.0,89.0,82.0,94.0,100.0,100.0,F,stabil
12.0,86.0,76.0,93.5,100.0,100.0,—,stabil
13.0,83.0,88.0,93.0,100.0,100.0,W,stabil
14.0,80.0,82.0,92.5,100.0,100.0,—,stabil
15.0,77.0,76.0,92.0,100.0,100.0,—,stabil
16.0,74.0,88.0,91.5,100.0,100.0,W,stabil
17.0,71.0,82.0,91.0,100.0,100.0,—,stabil
18.0,68.0,76.0,90.5,100.0,100.0,—,stabil
19.0,90.0,88.0,90.0,100.0,100.0,"W,F",stabil
20.0,87.0,82.0,89.5,100.0,100.0,—,stabil
21.0,84.0,76.0,89.0,100.0,100.0,—,stabil
22.0,81.0,88.0,88.5,100.0,100.0,W,stabil
23.0,78.0,82.0,88.0,100.0,100.0,—,stabil
24.0,75.0,76.0,87.5,100.0,100.0,—,stabil
25.0,72.0,88.0,87.0,100.0,100.0,W,stabil
26.0,69.0,82.0,86.5,100.0,100.0,—,stabil
27.0,66.0,76.0,86.0,100.0,100.0,—,stabil
28.0,88.0,88.0,85.5,100.0,100.0,"W,F",stabil
29.0,85.0,82.0,85.0,100.0,100.0,—,stabil
30.0,82.0,76.0,84.5,100.0,100.0,—,stabil
31.0,79.0,88.0,84.0,100.0,100.0,W,stabil
32.0,76.0,82.0,83.5,100.0,100.0,—,stabil
33.0,73.0,76.0,83.0,100.0,100.0,—,stabil
34.0,70.0,88.0,82.5,100.0,100.0,W,stabil
35.0,67.0,82.0,82.0,100.0,100.0,—,stabil
36.0,89.0,76.0,81.5,100.0,100.0,F,stabil
37.0,86.0,88.0,81.0,100.0,100.0,W,stabil
38.0,83.0,82.0,80.5,100.0,100.0,—,stabil
39.0,80.0,76.0,80.0,100.0,100.0,—,stabil
40.0,77.0,88.0,79.5,100.0,100.0,W,stabil
41.0,74.0,82.0,79.0,100.0,100.0,—,stabil
42.0,71.0,76.0,78.5,100.0,100.0,—,stabil
43.0,68.0,88.0,78.0,100.0,100.0,W,stabil
44.0,90.0,82.0,77.5,100.0,100.0,F,stabil
45.0,87.0,76.0,77.0,100.0,100.0,—,stabil
46.0,84.0,88.0,76.5,100.0,100.0,W,stabil
47.0,81.0,82.0,76.0,100.0,100.0,—,stabil
48.0,78.0,76.0,75.5,100.0,100.0,—,stabil
49.0,75.0,88.0,75.0,100.0,100.0,W,stabil
50.0,72.0,82.0,74.5,100.0,100.0,—,stabil
51.0,69.0,76.0,74.0,100.0,100.0,—,stabil
52.0,66.0,88.0,73.5,100.0,100.0,W,stabil
53.0,88.0,82.0,73.0,100.0,100.0,F,stabil
54.0,85.0,76.0,72.5,100.0,100.0,—,stabil
55.0,82.0,88.0,72.0,100.0,100.0,W,stabil
56.0,79.0,82.0,71.5,100.0,100.0,—,stabil
57.0,76.0,76.0,71.0,100.0,100.0,—,stabil
58.0,73.0,88.0,70.5,100.0,100.0,W,stabil
59.0,70.0,82.0,70.0,100.0,100.0,—,stabil
60.0,67.0,76.0,69.5,100.0,100.0,—,stabil
61.0,89.0,88.0,69.0,100.0,100.0,"W,F",stabil
62.0,86.0,82.0,68.5,100.0,100.0,—,stabil
63.0,83.0,76.0,68.0,100.0,100.0,—,stabil
64.0,80.0,88.0,67.5,100.0,100.0,W,stabil
65.0,77.0,82.0,67.0,100.0,100.0,—,stabil
66.0,74.0,76.0,66.5,100.0,100.0,—,stabil
67.0,71.0,88.0,66.0,100.0,100.0,W,stabil
68.0,68.0,82.0,65.5,100.0,100.0,—,stabil
69.0,90.0,76.0,65.0,100.0,100.0,F,stabil
70.0,87.0,88.0,64.5,100.0,100.0,W,stabil
71.0,84.0,82.0,64.0,100.0,100.0,—,stabil
