h,hunger,durst,energie,stimmung,gesundheit,status
0.0,98.0,97.0,99.8,100.0,100.0,lebendig
0.17,96.0,94.0,99.7,100.0,100.0,lebendig
0.33,94.0,91.0,99.9,100.0,100.0,lebendig
0.5,92.0,88.0,100.0,100.0,100.0,lebendig
0.67,90.0,85.0,100.0,100.0,100.0,lebendig
0.83,88.0,82.0,100.0,100.0,100.0,lebendig
1.0,86.0,79.0,99.8,100.0,100.0,lebendig
1.17,84.0,76.0,99.4,100.0,100.0,lebendig
1.33,82.0,73.0,98.8,100.0,100.0,lebendig
1.5,80.0,70.0,98.0,100.0,100.0,lebendig
1.67,78.0,67.0,97.3,100.0,100.0,lebendig
1.83,76.0,64.0,96.7,100.0,100.0,lebendig
2.0,86.0,83.0,96.3,100.0,100.0,lebendig
2.17,84.0,80.0,96.2,100.0,100.0,lebendig
2.33,82.0,77.0,96.2,100.0,100.0,lebendig
2.5,80.0,74.0,96.5,100.0,100.0,lebendig
2.67,78.0,71.0,96.7,100.0,100.0,lebendig
2.83,76.0,68.0,96.9,100.0,100.0,lebendig
3.0,74.0,65.0,96.8,100.0,100.0,lebendig
3.17,72.0,62.0,96.5,100.0,100.0,lebendig
3.33,70.0,59.0,96.0,100.0,100.0,lebendig
3.5,68.0,56.0,95.3,100.0,100.0,lebendig
3.67,66.0,53.0,94.6,100.0,100.0,lebendig
3.83,64.0,50.0,93.9,100.0,100.0,lebendig
4.0,84.0,69.0,93.4,100.0,100.0,lebendig
4.17,82.0,66.0,93.1,100.0,100.0,lebendig
4.33,80.0,63.0,93.0,100.0,100.0,lebendig
4.5,78.0,60.0,93.2,100.0,100.0,lebendig
4.67,76.0,57.0,93.4,100.0,100.0,lebendig
4.83,74.0,54.0,93.6,100.0,100.0,lebendig
5.0,72.0,51.0,93.7,100.0,100.0,lebendig
5.17,70.0,48.0,93.6,100.0,100.0,lebendig
5.33,68.0,45.0,93.2,100.0,100.0,lebendig
5.5,66.0,42.0,92.6,100.0,100.0,lebendig
5.67,64.0,39.0,90.6,98.7,100.0,lebendig
5.83,62.0,36.0,88.6,97.3,100.0,lebendig
6.0,82.0,55.0,88.0,97.3,100.0,lebendig
6.17,80.0,52.0,87.5,97.3,100.0,lebendig
6.33,78.0,49.0,87.4,97.3,100.0,lebendig
6.5,76.0,46.0,87.4,97.3,100.0,lebendig
6.67,74.0,43.0,87.6,97.3,100.0,lebendig
6.83,72.0,40.0,87.9,97.3,100.0,lebendig
7.0,70.0,37.0,85.9,96.0,100.0,lebendig
7.17,68.0,34.0,83.9,94.7,100.0,lebendig
7.33,66.0,31.0,81.9,93.3,100.0,lebendig
7.5,64.0,28.0,79.9,92.0,100.0,lebendig
7.67,62.0,25.0,77.9,90.7,100.0,lebendig
7.83,60.0,22.0,75.9,89.3,100.0,lebendig
8.0,80.0,41.0,75.2,89.3,100.0,lebendig
8.17,78.0,38.0,73.2,88.0,100.0,lebendig
8.33,76.0,35.0,71.2,86.7,100.0,lebendig
8.5,74.0,32.0,69.2,85.3,100.0,lebendig
8.67,72.0,29.0,67.2,84.0,100.0,lebendig
8.83,70.0,26.0,65.2,82.7,100.0,lebendig
9.0,68.0,23.0,63.2,81.3,100.0,lebendig
9.17,66.0,20.0,61.2,80.0,100.0,lebendig
9.33,64.0,17.0,59.2,78.7,100.0,hungrig/durstig
9.5,62.0,14.0,57.2,77.3,100.0,hungrig/durstig
9.67,60.0,11.0,55.2,76.0,100.0,hungrig/durstig
9.83,58.0,8.0,53.2,74.7,100.0,hungrig/durstig
10.0,78.0,27.0,51.2,73.3,100.0,lebendig
10.17,76.0,24.0,49.2,72.0,100.0,lebendig
10.33,74.0,21.0,47.2,70.7,100.0,lebendig
10.5,72.0,18.0,45.2,69.3,100.0,hungrig/durstig
10.67,70.0,15.0,43.2,68.0,100.0,hungrig/durstig
10.83,68.0,12.0,41.2,66.7,100.0,hungrig/durstig
11.0,66.0,9.0,39.2,65.3,100.0,hungrig/durstig
11.17,64.0,6.0,37.2,64.0,100.0,hungrig/durstig
11.33,62.0,3.0,35.2,62.7,100.0,hungrig/durstig
11.5,60.0,0.0,33.2,61.3,99.5,hungrig/durstig
11.67,58.0,0.0,31.2,60.0,99.0,hungrig/durstig
11.83,56.0,0.0,29.2,58.7,98.5,hungrig/durstig
12.0,76.0,19.0,27.2,57.3,98.0,hungrig/durstig
12.17,74.0,16.0,25.2,56.0,97.5,hungrig/durstig
12.33,72.0,13.0,23.2,54.7,97.0,hungrig/durstig
12.5,70.0,10.0,21.2,53.3,96.5,hungrig/durstig
12.67,68.0,7.0,19.2,52.0,96.0,erschöpft
12.83,66.0,4.0,17.2,50.7,95.5,erschöpft
13.0,64.0,1.0,15.2,49.3,95.0,erschöpft
13.17,62.0,0.0,13.2,48.0,94.5,erschöpft
13.33,60.0,0.0,11.2,46.7,94.0,erschöpft
13.5,58.0,0.0,9.2,45.3,93.5,erschöpft
13.67,56.0,0.0,7.2,44.0,93.0,erschöpft
13.83,54.0,0.0,5.2,42.7,92.5,erschöpft
14.0,74.0,19.0,3.2,41.3,92.0,erschöpft
14.17,72.0,16.0,1.2,40.0,91.5,erschöpft
14.33,70.0,13.0,0.0,38.7,91.0,erschöpft
14.5,68.0,10.0,0.0,37.3,90.5,erschöpft
14.67,66.0,7.0,0.0,36.0,90.0,erschöpft
14.83,64.0,4.0,0.0,34.7,89.5,erschöpft
15.0,62.0,1.0,0.0,33.3,89.0,erschöpft
15.17,60.0,0.0,0.0,32.0,88.5,erschöpft
15.33,58.0,0.0,0.0,30.7,88.0,erschöpft
15.5,56.0,0.0,0.0,29.3,87.5,erschöpft
15.67,54.0,0.0,0.0,28.0,87.0,erschöpft
15.83,52.0,0.0,0.0,26.7,86.5,erschöpft
16.0,72.0,19.0,0.0,25.3,86.0,erschöpft
16.17,70.0,16.0,0.0,24.0,85.5,erschöpft
16.33,68.0,13.0,0.0,22.7,85.0,erschöpft
16.5,66.0,10.0,0.0,21.3,84.5,erschöpft
16.67,64.0,7.0,0.0,20.0,84.0,erschöpft
16.83,62.0,4.0,0.0,18.7,83.5,erschöpft
17.0,60.0,1.0,0.0,17.3,83.0,erschöpft
17.17,58.0,0.0,0.0,16.0,82.5,erschöpft
17.33,56.0,0.0,0.0,14.7,82.0,erschöpft
17.5,54.0,0.0,0.0,13.3,81.5,erschöpft
17.67,52.0,0.0,0.0,12.0,81.0,erschöpft
17.83,50.0,0.0,0.0,10.7,80.5,erschöpft
18.0,70.0,19.0,0.0,9.3,80.0,erschöpft
18.17,68.0,16.0,0.0,8.0,79.5,erschöpft
18.33,66.0,13.0,0.0,6.7,79.0,erschöpft
18.5,64.0,10.0,0.0,5.3,78.5,erschöpft
18.67,62.0,7.0,0.0,4.0,78.0,erschöpft
18.83,60.0,4.0,0.0,2.7,77.5,erschöpft
19.0,58.0,1.0,0.0,1.3,77.0,erschöpft
19.17,56.0,0.0,0.0,0.0,76.5,erschöpft
19.33,54.0,0.0,0.0,0.0,76.0,erschöpft
19.5,52.0,0.0,0.0,0.0,75.5,erschöpft
19.67,50.0,0.0,0.0,0.0,75.0,erschöpft
19.83,48.0,0.0,0.0,0.0,74.5,erschöpft
20.0,68.0,19.0,0.0,0.0,74.0,erschöpft
20.17,66.0,16.0,0.0,0.0,73.5,erschöpft
20.33,64.0,13.0,0.0,0.0,73.0,erschöpft
20.5,62.0,10.0,0.0,0.0,72.5,erschöpft
20.67,60.0,7.0,0.0,0.0,72.0,erschöpft
20.83,58.0,4.0,0.0,0.0,71.5,erschöpft
21.0,56.0,1.0,0.0,0.0,71.0,erschöpft
21.17,54.0,0.0,0.0,0.0,70.5,erschöpft
21.33,52.0,0.0,0.0,0.0,70.0,erschöpft
21.5,50.0,0.0,0.0,0.0,69.5,erschöpft
21.67,48.0,0.0,0.0,0.0,69.0,erschöpft
21.83,46.0,0.0,0.0,0.0,68.5,erschöpft
22.0,66.0,19.0,0.0,0.0,68.0,erschöpft
22.17,64.0,16.0,0.0,0.0,67.5,erschöpft
22.33,62.0,13.0,0.0,0.0,67.0,erschöpft
22.5,60.0,10.0,0.0,0.0,66.5,erschöpft
22.67,58.0,7.0,0.0,0.0,66.0,erschöpft
22.83,56.0,4.0,0.0,0.0,65.5,erschöpft
23.0,54.0,1.0,0.0,0.0,65.0,erschöpft
23.17,52.0,0.0,0.0,0.0,64.5,erschöpft
23.33,50.0,0.0,0.0,0.0,64.0,erschöpft
23.5,48.0,0.0,0.0,0.0,63.5,erschöpft
23.67,46.0,0.0,0.0,0.0,63.0,erschöpft
23.83,44.0,0.0,0.0,0.0,62.5,erschöpft
24.0,64.0,19.0,0.0,0.0,62.0,erschöpft
